Keysight E1733A String Table
Italian

[1],Linear,Lineare
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,
[3094],Number of stops for the measurement,
[3095],Distance between the target positions,
[3096],The first target position,
[3097],The last target position,
[3098],Number of target positions in one travel range,
[3099],Data not available,
[3100],Select to enable user defined target position,
[3101],Select measurement travel direction,
[3102],Select direction and sequence of approaching each target positions,
[3103],Enter the name of the target axis,
[3104],Repetition number of the measurement cycles for the second axis,
[3105],Select direction and sequence of approaching each target position on the second axis,
[3106],Enter the name of the target axis for the second axis,
[3107],Delay time of the sampling after the object moves inside the target window ,
[3108],Enter the resolution of the encoder,
[3109],Select sampling trigger method,
[3110],Sampling by time,
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,
[3112],Select encoder output format,
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,
[3114],Select the displayed unit of the error value,
[3115],Select the displayed unit of the position value,
[3116],Select the type of the parallelism measurement,
[3117],Enter the error of the optical square,
[3118],Enter the value of the dead path,
[3119],Rotary table resolution,
[3120],User defined reset position,
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,
[3122],Select the type of linear measurement optics,
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,
[3124],Allow user to enter target position value when doing manual sampling,
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,
[3126],Target position interval for the second axis,
[3127],The first target position for the second axis,
[3128],The last target position for the second axis,
[3129],The number of the target positions in one travel range for the second axis ,
[3130],Data not available,
[3131],Select to enable user defined target position for the second axis,
[3132],Enter X-axis scale,
[3133],Enter Y-axis scale,
[3134],Enter Z-axis scale,
[3135],Calculated angle Alpha value,
[3136],Calculated angle Beta value,
[3137],Calculated diagonal length,
[3138],Enter sampling time interval,
[3139],Start sampling when the object passes the designated position (both directions),
[3140],Select to enable sampling mode,
[3141],Advanced setup,
[3142],Stop sampling when the target passes the designated position (both direction),
[3143],Enter total sampling points,
[3144],Enter total sampling time,
[3145],Stop sampling when data is lost,
[3146],Stop sampling when error occurs,
[3147],Select the mode of stop sampling,
[3148],Enter the value of the cover factor,
[3149],Select the calculation method of the flatness,
[3150],Select the name of the printer,
[3151],Enter the number of the copies to be printed,
[3152],Select the orientation of the print,
[3153],Select the content of the print,
[3154],Select the display mode of the environmental parameters,
[3155],Display data in the graph,
[3156],Graphical analysis options,
[3157],Data analysis options,
[3158],Select to display the slope of the fitting line,
[3159],Select measurement standard,
[3160],Unselect to cancel the modification for the standard,
[3161],Enter the name of the operator for the operation,
[3162],Enter the location of the measurement,
[3163],Enter the name of the machine,
[3164],Enter the type of the machine,
[3165],Enter the serial number of the machine,
[3166],Enter the model number of the machine,
[3167],Enter the property number of the machine,
[3168],Enter the calibration date,
[3169],The file name for the saved settings,
[3170],Enter other notes to be saved,
[3171],Enter the type of the device to be measured,
[3172],Enter the compensation method for the device to be measured,
[3173],Enter the feed speed for the measurement,
[3174],Enter the dwell time for the object at each position,
[3175],Enter the thermal coefficient of the device to be measured,
[3176],Select if NDE correction is used,
[3177],Enter the name and serial number of the instrument used for the measurement,
[3178],Enter the locations of the axes not used in the calibration,
[3179],Enter the reference bias of the tool in X direction,
[3180],Enter the reference bias of the device in X direction,
[3181],Enter the reference bias of the tool in Y direction,
[3182],Enter the reference bias of the tool in Y direction,
[3183],Enter the reference bias of the device in Y direction,
[3184],Enter the reference bias of the device in Y direction,
[3185],Enter the coordinate of the material sensor 1,
[3186],Enter the coordinate of the material sensor 2,
[3187],Enter the coordinate of the air sensor,
[3188],Enter the coordinate of the material sensor 3,
[3189],The update time of the sensor data in the compensation program,
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,
[3191],Enter the maximum error of the material sensors used during the measurement,
[3192],The maximum length of the measurement,
[3193],The error range of the instruments used in the measurement,
[3194],Enter the estimated error from the optic alignment in the measurement,
[3195],Enter the uncertainty of the expansion coefficient in the measurement,
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,
[3197],Select if the instruments used in the measurement are calibrated,
[3198],Select the serial number of the E1735A for the second axis,
[3199],Select the serial number of the E1736A for the second axis,
[3200],Select the serial number of the E1735A for the first axis,
[3201],Select the serial number of the E1736A for the first axis,
[3202],Display help information when the mouse cursor moves over an item,
[3203],Leave extra margin on selected side of paper,

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,
[4005],Click to start time base linear measurement |Measure linear displacement over time,
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path,
