Keysight E1733A String Table
German

[3037],"Pressed to display grid lines, released to hide grid lines ","Gedrückt um Rasterlinien anzuzeigen, loslassen um Rasterlinien zu verstecken"
[3038],"Pressed to display 3D graph, released to display 2D graph","Gedrückt um 3D Grafik anzuzeigen, loslassen um 2D Grafik anzuzeigen"
[3039],Select environmental parameter type,Wähle Umgebungsparameter Art
[3040],Select the axis to be displayed,Anzuzeigende Achse auswählen
[3041],Select the data type of the time to be displayed,Anzuzeigende Datenart der Zeit auswählen
[3042],Select the items to be displayed,Anzuzeigende Elemente auswählen
[3043],Enter the measurement point number for the zero position ,Messpunktnummer der Nullposition eingeben
[3044],Select the conversion method of the error sign,Auswählen der Umrechnungsmethode des Fehlersignals
[3045],Compensation value calculation method,Berechnungsmethode des Kompensationswert 
[3046],Select the measurement unit format |It will effect on all the display values,Messeinheitenformat auswählen | Wirkt sich auf alle Anzeigewerte aus
[3047],Length value correspond to one machine compensation value,Längenwerte stimmen mit einem Maschinenkompensationswert überein
[3048],Select compensation table location and generation method,Auswahl des Kompensationstischorts und der Erzeugungsmethode
[3049],Start position of the compensation table,Startposition des Kompensationstischs
[3050],End position of the compensation table,Endposition des Kompensationstischs
[3051],Interval of the compensation table,Intervall des Kompensationstischs
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,Auswahl der Ausdrucksform des Kompensationswerts | Beeinflusst das Zeichen des Kompensationswerts
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,Auswahl der Berechnungsmethoden der Vorwärts- und Rückwärtskompensationswerte | Kombination: Kompensationswert vom Durchschnitt der zwei Werte
[3054],Click to enter ISO information menu,Klicken um ins ISO Informationsmenü zu gelangen
[3055],Click to enter machine information menu,Klicken um ins Maschine Informationsmenü zu gelangen
[3056],Click to enter measurement setup menu,Klicken um ins Mess-Einrichtungs-Menü zu gelangen
[3057],Click to enter data analysis menu,Klicken um ins Datenanalysemenü zu gelangen
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,Einstellungen der Messung auswählen | Standard: Standard für alle Einstellungen; passend für neue Messung | Gespeichert: Speichern der Messung und Informationseinstellung;
[3059],Select display language,Anzeigesprache wählen
[3060],Click to setup the default path for data files,Klicken um den Standardpfad für Dateien einzurichten
[3061],Select the display method of the interface,Auswahl der Anzeigemethode für die Schnittstelle
[3062],Installed certificate,Installiertes Zertifikat
[3063],Select to open simulation mode,Auswählen um Simulationsmodus zu öffnen
[3064],Select for auto recovery after signal loss,Auswählen für automatische Rückstellung nach Signalverlust
[3065],Select to enter demo mode,Auswählen um Demomodus zu betreten
[3066],Select for beep on the data recording,Auswählen für Piepton bei Datenaufzeichnung
[3067],Select for E1736A S/N,Auswählen für E1736A Seriennummer
[3068],Select for E1735A S/N,Auswählen für E1735A Seriennummer
[3069],Select for the second E1735A S/N,Auswählen für zweite E1735A Seriennummer
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A","Auswählen für die Ausführung von [Rückstellen], [Start], [Aufnahme] und [Stopp] angewandt für beide E1735A"
[3071],Enter the wavelength of the laser head,Eingabe der Wellenlänge des Laserkopfes
[3072],User calibration value,Benutzer Eichwert
[3073],Optics calibration parameter,Kalibrierparameter der Optik
[3074],Change laser position sign,Wechseln des Laserpositionssignals
[3075],Air parameter update method |Plug or unplug sensor will change the setting,Luftparameter Updatemethode | Ein- oder Ausstecken des Sensors verändert die Einstellungen
[3076],Select air humidity update method,Auswahl der Luftfeuchtigkeits Update-Methode
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,Auswählen um Luftfeuchtigkeit manuell einzugeben | Daten vom Luftfühler werden ignoriert
[3078],Material temperature update method |Plug or unplug sensor will change the setting,Materialtemperatur Update-Methode | Ein- oder Ausstecken des Sensors verändert die Einstellungen
[3079],Average of the material temperatures,Durchschnitt der Materialtemperaturen
[3080],Compensation number for the laser wavelength in air,Kompensationszahl für die Laserwellenlänge in Luft
[3081],Total compensation number including wavelength and expansion compensations,Gesamtkompensationszahl einschließlich Wellenlänge und Ausdehnungskompensation
[3082],Expansion coefficient of the device under test or lead screw,Audehnungskoeffizient des Geräts unter Test oder Arbeitsspindel
[3083],Repetition number of measurement cycles,Anzahl der Wiederholungen der Messzyklen
[3084],The length of the segment from point A to point C,Die Länge des Segments von Punkt A zu Punkt C
[3085],The length of the segment from point A to point G,Die Länge des Segments von Punkt A zu Punkt G
[3086],Diagonal length of the measurement area,Diagonale Länge des Vermessungsbereichs
[3087],Select the name of the axis for the next measurement,Name der Achse für die nächste Messung auswählen
[3088],Number of stops on each axis,Anzahl der Stopps auf jeder Achse
[3089],Change the number of stops on AC,Änderung der Anzahl der Stopps auf AC
[3090],Change the number of stops on AG,Änderung der Anzahl der Stopps auf AG
[3091],Select the direction of the measurement on the axis,Auswählen der Richtung der Messung auf der Achse
[3092],Enter the foot spacing of the measurement accessory,Eingabe des Fußabstands des Messzubehörs
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,Die Länge der Führung unter Test | hängt ab von der Anzahl der Stopps und des Fußabstands
[3094],Number of stops for the measurement,Anzahl der Stopps für die Messung
[3095],Distance between the target positions,Abstand zwischen den Zielpositionen
[3096],The first target position,Die erste Zielposition
[3097],The last target position,Die letzte Zielpostion
[3098],Number of target positions in one travel range,Anzahl der Zielpositionen in einem Verfahrbereich
[3099],Data not available,Daten nicht verfügbar
[3100],Select to enable user defined target position,Auswählen um benutzerdefinierte Zielposition zu aktivieren
[3101],Select measurement travel direction,Auswählen der Verfahrrichtung der Messung
[3102],Select direction and sequence of approaching each target positions,Auswählen der Richtung und Annäherungssequenz jeder Zielposition
[3103],Enter the name of the target axis,Eingabe des Namen der Zielachse
[3104],Repetition number of the measurement cycles for the second axis,Wiederholungsnummer der Messzyklen für die zweite Achse
[3105],Select direction and sequence of approaching each target position on the second axis,Auswählen der Richtung und Annäherungssequenz jeder Zielposition auf der zweiten Achse
[3106],Enter the name of the target axis for the second axis,Eingabe des Namen der Zielachse für die zweite Achse
[3107],Delay time of the sampling after the object moves inside the target window ,Verzögerung des Sampling nachdem das Objekt ins Zielfenster bewegt wurde
[3108],Enter the resolution of the encoder,Eingabe der Auflösung des Encoders
[3109],Select sampling trigger method,Auswählen der Sampling-Auslösemethode
[3110],Sampling by time,Sampling nach Zeit
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,Eingabe Zielfensternummer | Automatisches Sampling wird nach der Verweildauer ausgelöst nach der das Objekt ins Zielfenster gefahren ist
[3112],Select encoder output format,Auswählen Encoder-Ausgabeformat
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,Auswählen der Anzeigegenauigkeit der Daten | Beeinflusst die Genauigkeit der Daten in der Tabelle und der gespeicherten Datei
[3114],Select the displayed unit of the error value,Auswählen der angezeigten Einheit des Fehlerwertes
[3115],Select the displayed unit of the position value,Auswählen der angezeigten Einheit des Positionswertes
[3116],Select the type of the parallelism measurement,Auswählen der Art der Parallelilätsmessung
[3117],Enter the error of the optical square,Eingabe des Fehler des optisch rechten Winkels
[3118],Enter the value of the dead path,Eingabe des Wertes für den Totweg
[3119],Rotary table resolution,Auflösung des Rundtischs
[3120],User defined reset position,Benutzerdefinierte Rückstellposition
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,Auswählen der durchschnittlichen Messdauer | Eine kürzere Mittelungszeit erhöht die Messgeschwindigkeit | Eine längere Mittelungszeit reduziert den Einfluss der Luftturbulenzen
[3122],Select the type of linear measurement optics,Auswählen der Art der linearen Messoptiken
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,Auslösen des Sampling wenn das Objekt in der Start- oder Endposition länger als angegeben verweilt
[3124],Allow user to enter target position value when doing manual sampling,Erlaubt dem Benutzer den Wert der Zielposition einzugeben wenn manuell aufgenommen wird
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,Erweiterte Auflösung nutzen | Erhöht die Messgenauigkeit aber verringert die Aufnahmegeschwindigkeit
[3126],Target position interval for the second axis,Zielpositionsintervall für die zweite Achse
[3127],The first target position for the second axis,Erste Zielposition für die zweite Achse
[3128],The last target position for the second axis,Letzte Zielposition für die zweite Achse
[3129],The number of the target positions in one travel range for the second axis ,Anzahl der Zielpositionen in einem Verfahrbereich für die zweite Achse
