Keysight E1733A String Table
TradChn

[1],Linear,線性
[3061],Select the display method of the interface,選擇介面的顯示模式
[3062],Installed certificate,已連結的序號
[3063],Select to open simulation mode,開啟模擬模式
[3064],Select for auto recovery after signal loss,開啟訊號錯誤時自動回復功能
[3065],Select to enter demo mode,進入展示模式
[3066],Select for beep on the data recording,每次紀錄數據時發出提示音
[3067],Select for E1736A S/N,選擇 E1736A 訊號
[3068],Select for E1735A S/N,選擇 E1735A 訊號
[3069],Select for the second E1735A S/N,選擇 第二個 E1735A 訊號
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A",選擇後，[歸零]、[開始]、[紀錄]與[停止]將會同時對兩個E1735A產生作用
[3071],Enter the wavelength of the laser head,輸入雷射真空波長
[3072],User calibration value,用戶校驗後數值
[3073],Optics calibration parameter,光學鏡組校準參數
[3074],Change laser position sign,更改雷射位置的正負號顯示
[3075],Air parameter update method |Plug or unplug sensor will change the setting,空氣感測器的更新模式 | 連結或拔出感測器將會自動修改此設置
[3076],Select air humidity update method,選擇空氣感測器的更新模式
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,選擇後用戶可自行定義空氣濕度壓力數值 | 感測器數值將被忽略
[3078],Material temperature update method |Plug or unplug sensor will change the setting,材料感測器的更新模式 | 連結或拔出感測器將會自動修改此設置
[3079],Average of the material temperatures,材料感測的平均溫度
[3080],Compensation number for the laser wavelength in air,雷射波長在空氣中的補償數值
[3081],Total compensation number including wavelength and expansion compensations,總補償係數，包含波長補償與熱膨脹補償
[3082],Expansion coefficient of the device under test or lead screw,待測物的熱膨脹係數
[3083],Repetition number of measurement cycles,量測週期的循環次數
[3084],The length of the segment from point A to point C,從A到C的量測線段長度
[3085],The length of the segment from point A to point G,從A到G的量測線段長度
[3086],Diagonal length of the measurement area,量測平面的對角線長度
[3087],Select the name of the axis for the next measurement,選擇下一個量測軸線的代號
[3088],Number of stops on each axis,每個軸線的測站數量
[3089],Change the number of stops on AC,更改A到C的測站數量
[3090],Change the number of stops on AG,更改A到G的測站數量
[3091],Select the direction of the measurement on the axis,選擇軸線的量測方向
[3092],Enter the foot spacing of the measurement accessory,輸入量測軸的腳間距
[3093],The length of the guide under test |depends on the number of the stops and the foot spacing  ,待測的導軌長度 | 根據測站與腳間距來計算
[3094],Number of stops for the measurement,進行量測的測站數
[3095],Distance between the target positions,與目標間的間隔長度
[3096],The first target position,第一個目標位置
[3097],The last target position,最後一個目標位置
[3098],Number of target positions in one travel range,單趟行程中的目標數量
[3099],Data not available,不可用的資料
[3100],Select to enable user defined target position,選擇用戶自定義目標
[3101],Select measurement travel direction,選擇量測行徑方向
[3102],Select direction and sequence of approaching each target positions,選擇接近各個目標位置的方向與次序
[3103],Enter the name of the target axis,輸入目標軸的名稱
[3104],Repetition number of the measurement cycles for the second axis,第二軸的量測週期數
[3105],Select direction and sequence of approaching each target position on the second axis,選擇接近第二軸的各個目標位置的方向與次序
[3106],Enter the name of the target axis for the second axis,輸入第二目標軸的名稱
[3107],Delay time of the sampling after the object moves inside the target window ,量測值進入目標視窗後的觸發延遲時間
[3108],Enter the resolution of the encoder,輸入編碼器的解析度
[3109],Select sampling trigger method,選擇取樣觸發模式
[3110],Sampling by time,取樣時間
[3111],Enter target window number |Auto sampling happens after the dwell time since the object moves inside of the target window,目標視窗的輸入值 | 當量測值進入目標視窗中時，開始計算觸發停止秒數後再擷取數值
[3112],Select encoder output format,選擇編碼器的輸出格式
[3113],Select the display accuracy of the data |It will affect accuracy of the  data in the data table and the saved file,選擇顯示值的解析度 | 這將影響數據表與存檔內容的數據解析度 
[3114],Select the displayed unit of the error value,選擇誤差值的顯示單位
[3115],Select the displayed unit of the position value,選擇位置值的顯示單位
[3116],Select the type of the parallelism measurement,選擇平行度的量測類型
[3117],Enter the error of the optical square,輸入光學直角鏡的角度誤差值
[3118],Enter the value of the dead path,輸入死徑長度值
[3119],Rotary table resolution,旋轉盤的解析度
[3120],User defined reset position,用戶自定義的雷射歸零數值
[3121],Select average measurement time |Shorter average time will increase the measurement response speed |Longer average time will reduce the influence of the air turbulence,選擇量測時的平均化時間 | 較短的平均時間可以提高數值反應速度 | 較長的平均時間可以降低空氣擾動影響的數值
[3122],Select the type of linear measurement optics,選擇長距離或短距離的直線度鏡組
[3123],Trigger sampling when the object stays in the start or end position for more than specified time ,允許量測值在起點或終點暫停超過最大停留時間後觸發自動取樣
[3124],Allow user to enter target position value when doing manual sampling,允許用戶在手動取樣時可自行輸入量測值
[3125],Use extended resolution |It will increase measurement accuracy but reduce sampling speed,額外提高解析度 | 此舉將提高量測精度但降低採樣頻率
[3126],Target position interval for the second axis,第二軸的目標位置間隔
[3127],The first target position for the second axis,第二軸的第一個目標位置
[3128],The last target position for the second axis,第二軸的最後一個目標位置
[3129],The number of the target positions in one travel range for the second axis ,單趟行程中的目標數量((第二軸)
[3130],Data not available,不可用的資料
[3131],Select to enable user defined target position for the second axis,選擇用戶自定義目標(第二軸)
[3132],Enter X-axis scale,輸入X軸方向的比例係數
[3133],Enter Y-axis scale,輸入Y軸方向的比例係數
[3134],Enter Z-axis scale,輸入Z軸方向的比例係數
[3135],Calculated angle Alpha value,計算得到Alfa角數值
[3136],Calculated angle Beta value,計算得到Beta角數值
[3137],Calculated diagonal length,計算得到的對角線長度
[3138],Enter sampling time interval,輸入採樣時間間隔
[3139],Start sampling when the object passes the designated position (both directions),當目標超過指定位置(雙向)後開始採樣
[3140],Select to enable sampling mode,選擇採樣模式
[3141],Advanced setup,進階設定
[3142],Stop sampling when the target passes the designated position (both direction),當量測值超過指定位置後停止取樣
[3143],Enter total sampling points,輸入總取樣點數
[3144],Enter total sampling time,輸入總取樣時間
[3145],Stop sampling when data is lost,當數據遺失時停止採樣
[3146],Stop sampling when error occurs,發生錯誤時停止採樣
[3147],Select the mode of stop sampling,選擇停止採樣的方式
[3148],Enter the value of the cover factor,輸入覆蓋因子的數值
[3149],Select the calculation method of the flatness,選擇平面度的計算方法
[3150],Select the name of the printer,選擇印表機的名稱
[3151],Enter the number of the copies to be printed,選擇需列印的份數
[3152],Select the orientation of the print,選擇紙張的方向
[3153],Select the content of the print,選擇需列印的內容
