Keysight E1733A String Table
English

[369],Typical Results,Typical Results
[370],At Target %s,At Target %s
[371],For R According to Table,For R According to Table
[372],Corrected,Corrected
[373],Uncorrected,Uncorrected
[374],Assumed,Assumed
[375],Calibrated Measuring Device,Calibrated Measuring Device
[376],Uncertainty of Expansion Coefficient,Uncertainty of Expansion Coefficient
[377],Unit,Unit
[378],Amplitude,Amplitude
[379],Frequency,Frequency
[380],Show Legend,Show Legend
[381],Show Machine Info.,Show Machine Info
[382],Merge Data,Merge Data
[383],Can't combine different data types or target lists,Can't combine different data types or target lists
[384],Synchronized Operation,Synchronized Operation
[385],Demo Mode,Demo Mode
[386],Rotary Table,Rotary Table
[387],Printer,Printer
[388],Copies,Copies
[389],Orientation,Orientation
[390],Portrait,Portrait
[391],Landscape,Landscape
[392],Download,Download
[393],User defined download program,User defined download program
[394],File not found,File not found
[395],Show Hint,Show Hint
[396],Extra Margin,Extra Margin
[397],Left,Left
[398],Top,Top
[399],Right,Right
[400],Bottom,Bottom
[401],Calibration Due,Calibration Due
[402],Calibration Expired,Calibration Expired
[403],Calibration Period,Calibration Period
[404],Month,Month
[405],Dual Axis,Dual Axis
[406],Single Axis,Single Axis
[407],Hysteresis,Hysteresis

[1001],Install,Install
[1002],[%s] will be installed in the following folder,[%s] will be installed in the following folder
[1003],[%s] has been successfully installed,[%s] has been successfully installed
[1004],Failed to install [%s],Failed to install [%s]
[1005],Remove,Remove
[1006],Remove all components of [%s],Remove all components of [%s]
[1007],[%s] has been removed,[%s] has been removed
[1008],Failed to remove [%s],Failed to remove [%s]
[1009],Reinstall,Reinstall
[1010],Please close program [%s] first,Please close program [%s] first
[1011],Install Path,Install Path
[1012],User Data,User Data
[1013],User data will not be deleted,User data will not be deleted
[1014],Agree,Agree
[1015],Do Not Agree,Do Not Agree
[1016],Customize,Customize
[1017],Customize user interface and advanced options of [%s],Customize user interface and advanced options of [%s]
[1018],Repair,Repair
[1019],Repair system settings and reinstall driver,Repair system settings and reinstall driver

[2001],Existing Calibration,Existing Calibration
[2002],New Calibration,New Calibration
[2003],Raw Value,Raw Value
[2004],Calibrated,Calibrated
[2005],Reference,Reference
[2006],Temperature,Temperature
[2007],Write Sensor,Write Sensor
[2008],Sensor Calibration,Sensor Calibration
[2009],Sensor has been updated,Sensor has been updated
[2010],Discard changes,Discard changes
[2011],Cannot access sensor,Cannot access sensor

[3001],Laser position,Laser position
[3002],Laser position 2,Laser position 2
[3003],Error value,Error value
[3004],Target position,Target position
[3005],Encoder reading,Encoder reading
[3006],Rotary table reading,Rotary table reading
[3007],Rotary angle,Rotary angle
[3008],Elapsed time,Elapsed time
[3009],Motion velocity,Motion velocity
[3010],Target position number,Target position number
[3011],Click to change lower display,Click to change lower display
[3012],Click to change upper display,Click to change upper display
[3013],Beam strength 2,Beam strength 2
[3014],beam strength,beam strength
[3015],Simulated laser position,Simulated laser position
[3016],Rotary table status |Click to enter hardware setup menu,Rotary table status |Click to enter hardware setup menu
[3017],Air pressure,Air pressure
[3018],Air temperature,Air temperature
[3019],Material Temperature 1,Material Temperature 1
[3020],Material Temperature 2,Material Temperature 2
[3021],Material temperature 3,Material temperature 3
[3022],Air relative humidity,Air relative humidity
[3023],Environmental parameter display area |Double click to enlarge or recover,Environmental parameter display area |Double click to enlarge or recover
[3024],Measurement graph display area |Double click to enlarge or recover |Drag to change display area,Measurement graph display area |Double click to enlarge or recover |Drag to change display area
[3025],Measurement data display area |Double click to enlarge or recover,Measurement data display area |Double click to enlarge or recover
[3026],Change error value sign,Change error value sign
[3027],Enter limit line value,Enter limit line value
[3028],Select -> to display limit line,Select -> to display limit line
[3029],Enter line number |Press the left button to setup it as the first line,Enter line number |Press the left button to setup it as the first line
[3030],Select the display mode of the target position,Select the display mode of the target position
[3031],Enter user defined Y-axis range,Enter user defined Y-axis range
[3032],Select ->  Display graph,Select ->  Display graph
[3033],Auto select Y-axis range,Auto select Y-axis range
[3034],Select -> Display according to user defined range,Select -> Display according to user defined range
[3035],Toolbar,Toolbar
[3036],Select environmental parameter units ,Select environmental parameter units 
[3037],"Pressed to display grid lines, released to hide grid lines ","Pressed to display grid lines, released to hide grid lines "
[3038],"Pressed to display 3D graph, released to display 2D graph","Pressed to display 3D graph, released to display 2D graph"
[3039],Select environmental parameter type,Select environmental parameter type
[3040],Select the axis to be displayed,Select the axis to be displayed
[3041],Select the data type of the time to be displayed,Select the data type of the time to be displayed
[3042],Select the items to be displayed,Select the items to be displayed
[3043],Enter the measurement point number for the zero position ,Enter the measurement point number for the zero position 
[3044],Select the conversion method of the error sign,Select the conversion method of the error sign
[3045],Compensation value calculation method,Compensation value calculation method
[3046],Select the measurement unit format |It will effect on all the display values,Select the measurement unit format |It will effect on all the display values
[3047],Length value correspond to one machine compensation value,Length value correspond to one machine compensation value
[3048],Select compensation table location and generation method,Select compensation table location and generation method
[3049],Start position of the compensation table,Start position of the compensation table
[3050],End position of the compensation table,End position of the compensation table
[3051],Interval of the compensation table,Interval of the compensation table
[3052],Select the expression form of the compensation value |It will affect the sign of the compensation value,Select the expression form of the compensation value |It will affect the sign of the compensation value
[3053],Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately,Select the calculation methods for the forward and reverse compensation values |Combination: compensation value from the average of the two values |Forward/Reverse: calculate two compensation values separately
[3054],Click to enter ISO information menu,Click to enter ISO information menu
[3055],Click to enter machine information menu,Click to enter machine information menu
[3056],Click to enter measurement setup menu,Click to enter measurement setup menu
[3057],Click to enter data analysis menu,Click to enter data analysis menu
[3058],Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine,Select settings for the measurement |Default: Default for all the settings; suitable for new measurement |Saved: Save measurement and information setting; Suitable for the repeating measurement |Information: Save information settings only; Suitable for measurement for the same machine
[3059],Select display language,Select display language
[3060],Click to setup the default path for data files,Click to setup the default path for data files
[3061],Select the display method of the interface,Select the display method of the interface
[3062],Installed certificate,Installed certificate
[3063],Select to open simulation mode,Select to open simulation mode
[3064],Select for auto recovery after signal loss,Select for auto recovery after signal loss
[3065],Select to enter demo mode,Select to enter demo mode
[3066],Select for beep on the data recording,Select for beep on the data recording
[3067],Select for E1736A S/N,Select for E1736A S/N
[3068],Select for E1735A S/N,Select for E1735A S/N
[3069],Select for the second E1735A S/N,Select for the second E1735A S/N
[3070],"Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A","Select for the operation of [Reset], [Start], [Record] and [Stop] applied to both E1735A"
[3071],Enter the wavelength of the laser head,Enter the wavelength of the laser head
[3072],User calibration value,User calibration value
[3073],Optics calibration parameter,Optics calibration parameter
[3074],Change laser position sign,Change laser position sign
[3075],Air parameter update method |Plug or unplug sensor will change the setting,Air parameter update method |Plug or unplug sensor will change the setting
[3076],Select air humidity update method,Select air humidity update method
[3077],Select to enter the air humidity manually |Data from air sensor will be ignored,Select to enter the air humidity manually |Data from air sensor will be ignored
[3078],Material temperature update method |Plug or unplug sensor will change the setting,Material temperature update method |Plug or unplug sensor will change the setting
[3079],Average of the material temperatures,Average of the material temperatures
[3080],Compensation number for the laser wavelength in air,Compensation number for the laser wavelength in air
[3081],Total compensation number including wavelength and expansion compensations,Total compensation number including wavelength and expansion compensations
[3082],Expansion coefficient of the device under test or lead screw,Expansion coefficient of the device under test or lead screw
[3083],Repetition number of measurement cycles,Repetition number of measurement cycles
[3084],The length of the segment from point A to point C,The length of the segment from point A to point C
[3085],The length of the segment from point A to point G,The length of the segment from point A to point G
[3086],Diagonal length of the measurement area,Diagonal length of the measurement area
[3087],Select the name of the axis for the next measurement,Select the name of the axis for the next measurement
[3088],Number of stops on each axis,Number of stops on each axis
[3089],Change the number of stops on AC,Change the number of stops on AC
[3090],Change the number of stops on AG,Change the number of stops on AG
